code,name,description,category,url
A01,Pre- and post-project impact appraisal,,A,
A02,Objectives / Purpose of activity,,A,
A03,Intended ultimate beneficiaries,,A,
A04,Conditions,,A,
A05,Budget,,A,
A06,Summary information about contract,,A,
A07,Review of project performance and evaluation,,A,
A08,"Results, outcomes and outputs",,A,
A09,Memorandum of understanding (If agreed by all parties),,A,
A10,Tender,,A,
A11,Contract,,A,
A12,Activity web page,,A,
B01,Annual report,,B,
B02,Institutional Strategy paper,,B,
B03,Country strategy paper,,B,
B04,Aid Allocation Policy,,B,
B05,Procurement Policy and Procedure,,B,
B06,Institutional Audit Report,,B,
B07,Country Audit Report,,B,
B08,Exclusions Policy,,B,
B09,Institutional Evaluation Report,,B,
B10,Country Evaluation Report,,B,
B11,Sector strategy,,B,
B12,Thematic strategy,,B,
B13,Country-level Memorandum of Understanding,,B,
B14,Evaluations policy,,B,
B15,General Terms and Conditions,,B,
B16,Organisation web page,,B,
B17,Country/Region web page,,B,
B18,Sector web page,,B,
